,city,Area,education,remote,experience,fulltime,label,Target,labelTree
158,3,1,1,2,1,1,5,5,6
159,2,2,2,2,2,2,3,5,4
160,3,1,1,2,1,1,5,3,6
161,3,1,1,2,1,1,5,2,6
162,2,2,2,2,2,2,3,2,4
163,3,3,1,2,1,1,5,3,6
164,3,1,1,2,1,1,5,2,6
165,3,3,1,2,1,1,5,3,6
166,2,2,2,2,2,2,3,2,4
167,2,2,2,2,2,2,3,3,4
168,2,2,2,2,2,2,3,2,4
169,2,2,1,2,1,1,5,5,6
170,3,3,1,2,1,1,5,5,6
171,2,2,1,2,1,1,5,2,6
172,2,2,2,2,2,2,3,5,4
173,2,3,2,2,2,2,3,3,4
174,3,1,1,2,1,1,5,5,6
175,3,1,1,2,1,1,5,3,6
176,2,2,2,2,2,2,3,5,4
177,2,2,1,2,1,1,5,3,6
178,2,2,1,2,1,1,5,1,6
179,1,3,2,1,2,1,1,2,2
180,3,1,1,2,1,1,5,3,6
181,2,3,2,2,2,2,3,3,4
182,2,2,2,2,2,2,3,3,4
183,3,1,1,2,1,1,5,5,6
184,2,2,2,2,2,2,3,2,4
185,2,2,2,2,2,2,3,2,4
186,2,2,2,2,2,2,3,5,4
187,1,3,2,1,2,1,1,2,2
188,2,2,2,2,2,2,3,5,4
189,2,3,2,2,2,2,3,2,4
190,3,1,1,2,1,1,5,3,6
191,2,2,1,2,1,1,5,5,6
192,3,3,1,2,1,1,5,5,6
193,3,3,1,2,1,1,5,2,6
194,3,3,1,2,1,1,5,3,6
195,3,1,1,2,1,1,5,3,6
196,2,2,2,2,2,2,3,5,4
197,3,3,1,2,1,1,5,2,6
198,3,3,1,2,1,1,5,5,6
199,2,2,1,2,1,1,5,3,6
200,2,3,2,2,2,2,3,2,4
201,2,2,2,2,2,2,3,3,4
202,2,3,2,2,2,2,3,2,4
203,2,2,2,2,2,2,3,5,4
204,3,1,1,2,1,1,5,5,6
205,2,2,2,2,2,2,3,3,4
206,3,3,1,2,1,1,5,3,6
207,3,1,1,2,1,1,5,5,6
208,3,3,1,2,1,1,5,3,6
209,2,2,1,2,1,1,5,5,6
210,2,2,2,2,2,2,3,3,4
211,2,2,1,2,1,1,5,5,6
212,2,2,1,2,1,1,5,4,6
213,3,3,1,2,1,1,5,2,6
214,3,3,1,2,1,1,5,5,6
215,2,2,1,2,1,1,5,5,6
216,2,3,2,2,2,2,3,2,4
217,2,3,2,2,2,2,3,5,4
218,1,3,2,1,2,1,1,1,2
219,3,3,1,2,1,1,5,3,6
220,2,2,1,2,1,1,5,5,6
221,2,2,2,2,2,2,3,5,4
222,1,3,2,1,2,1,1,2,2
223,1,3,2,1,2,1,1,1,2
224,1,3,2,1,2,1,1,1,2
225,2,2,1,2,1,1,5,4,6
226,2,2,2,2,2,2,3,2,4
